Id,IsDeleted,Name,ParentId,Type,RecordTypeId,Status,StartDate,EndDate,ExpectedRevenue,BudgetedCost,ActualCost,ExpectedResponse,NumberSent,IsActive,CampaignImageId,NumberOfLeads,NumberOfConvertedLeads,NumberOfContacts,NumberOfResponses,NumberOfOpportunities,NumberOfWonOpportunities,AmountAllOpportunities,AmountWonOpportunities,HierarchyNumberOfLeads,HierarchyNumberOfConvertedLeads,HierarchyNumberOfContacts,HierarchyNumberOfResponses,HierarchyNumberOfOpportunities,HierarchyNumberOfWonOpportunities,HierarchyAmountAllOpportunities,HierarchyAmountWonOpportunities,HierarchyNumberSent,HierarchyExpectedRevenue,HierarchyBudgetedCost,HierarchyActualCost,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,CampaignMemberRecordTypeId,GW_Volunteers__Number_of_Volunteers__c,GW_Volunteers__Volunteer_Completed_Hours__c,GW_Volunteers__Volunteer_Jobs__c,GW_Volunteers__Volunteer_Shifts__c,GW_Volunteers__Volunteers_Still_Needed__c,GW_Volunteers__Volunteer_Website_Time_Zone__c,Workshop_Staff_Members__c,Workshop_Type__c,Workshop_Sponsor__c,Program_Location__c,stayclassy__Classy_Campaign_Type__c,stayclassy__Commitment__c,stayclassy__Event_Image_URL__c,stayclassy__Fundraiser_Alias__c,stayclassy__address1__c,stayclassy__address2__c,stayclassy__city__c,stayclassy__country__c,stayclassy__sc_event_id__c,stayclassy__sf_contact_id__c,stayclassy__sf_designation_id__c,stayclassy__state__c,stayclassy__venue_name__c,stayclassy__zip__c,EventbriteSync__EventbriteId__c,Event_Capacity__c,stayclassy__Classy_API_Request__c,stayclassy__Classy_Designation_Id__c,stayclassy__Classy_External_ID__c,stayclassy__Classy_Fundraising_Team__c,stayclassy__Classy_Member_ID__c,stayclassy__Classy_Organization_ID__c,stayclassy__Classy_Parent_Campaign_ID__c,stayclassy__Classy_Parent_Campaign__c,stayclassy__Classy_Team_ID__c,stayclassy__Currency_Code__c,stayclassy__End_Date__c,stayclassy__Normalized_Goal_Amount__c,stayclassy__Start_Date__c,stayclassy__Team_Role__c,stayclassy__Team__c,stayclassy__Timezone_Identifier__c,stayclassy__Allocated_Fund__c,stayclassy__Deferred_Transaction_Amount__c,stayclassy__Raw_Currency_Code__c,stayclassy__Raw_Goal_Amount__c,Date_Email_Sent__c,Number_Quality_Survey_Ratings__c,Quality_Survey_Rating_Total__c,Workshop_Length_In_Days__c,Number_of_Registrants__c,EO_Email_Campaign__c,Recommendation_Rating_Total__c,Number_Recommendation_Ratings__c,Account_Name__c,stayclassy__Classy_Mode_Checked_By_Default__c,stayclassy__Classy_Mode_Enabled__c,stayclassy__Effective_Fixed_FOT_Percent__c,stayclassy__Fixed_FOT_Percent__c
7010z000000mBaVAAU,0,O2O Volunteer Program Email,000000000000000AAA,Email,012380000009wCN,Completed,,,,,,0,0,1,000000000000000AAA,0,0,1006,0,0,0,0,0,0,0,1006,0,0,0,0,0,0,0,0,0,00538000005Ey04AAC,1/15/2019 14:11,00538000005Ey04AAC,1/15/2019 14:11,00538000005Ey04AAC,1/15/2019 14:13,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,1/15/2019 0:00,0,0,,,0,0,0,,0,0,,
7010z000000mBazAAE,0,Registration Push,000000000000000AAA,Email,012380000009wCN,Completed,,,,,,0,0,1,000000000000000AAA,0,0,988,0,0,0,0,0,0,0,988,0,0,0,0,0,0,,,,00538000005Ey04AAC,1/15/2019 14:41,00538000005Ey04AAC,1/15/2019 14:41,00538000005Ey04AAC,1/15/2019 14:41,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,1/15/2019 0:00,0,0,,,0,0,0,,0,0,,
7010z000000mBcvAAE,0,Mass Email - SES Spanish Bilingual Communications Tech 1.15.19,000000000000000AAA,Email,012380000009wCN,In Progress,,,,,,0,0,1,000000000000000AAA,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,,,,00538000005Vf9LAAS,1/15/2019 21:54,00538000005Vf9LAAS,1/15/2019 21:54,00538000005Vf9LAAS,1/15/2019 21:54,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,0,,,1,0,0,0010z00001UVARVAA5,0,0,,
7010z000000mBd0AAE,0,Change Health Care_Email Campaign,000000000000000AAA,Email,012380000009wCN,In Progress,,,,,,0,0,1,000000000000000AAA,0,0,997,0,0,0,0,0,0,0,997,0,0,0,0,0,0,,,,0050z0000079IcOAAU,1/15/2019 22:09,0050z0000079IcOAAU,1/15/2019 22:09,0050z0000079IcOAAU,1/15/2019 22:12,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,0,,,0,0,0,0013800001Oeg5VAAR,0,0,,
7010z000000mBiFAAU,0,Mass Email - Evicore Non Clinical Intake 1.16.19,000000000000000AAA,Email,012380000009wCN,Completed,,,,,,0,866,1,000000000000000AAA,0,0,890,0,0,0,0,0,0,0,890,0,0,0,0,0,866,0,0,0,00538000005Vf9LAAS,1/16/2019 16:23,00538000005Vf9LAAS,1/16/2019 17:07,00538000005Vf9LAAS,1/16/2019 17:07,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,1/16/2019 0:00,0,0,,,1,0,0,0010z00001SdvU2AAJ,0,0,,
7010z000000mBuaAAE,0,Shot Show- Walls Outdoor Goods,000000000000000AAA,donation,012380000009wCR,Active,1/17/2019 0:00,,2000,,,0,0,1,000000000000000AAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,00538000004gsNsAAI,1/17/2019 18:06,00538000004gsNsAAI,1/17/2019 20:56,00538000004gsNsAAI,1/17/2019 20:56,,,0,0,0,0,0,,,,,,Campaign,,,,,,,US,220694,,a2438000001ajaKAAQ,,,,,,a4C0z000000mrdgEAA,31222,Campaign-220694,,,26892,,,,USD,,,1/17/2019 0:00,,,America/New_York,0,0,USD,2000,,0,0,,,0,0,0,,1,1,3.2,3.2
7010z0000019qCQAAY,0,O2O Email Campaign - First Data Multiple,000000000000000AAA,Email,012380000009wCN,In Progress,,,,,,0,0,1,000000000000000AAA,0,0,359,0,0,0,0,0,0,0,359,0,0,0,0,0,0,,,,00538000005SSqBAAW,8/6/2018 16:35,00538000005SSqBAAW,8/6/2018 16:35,00538000005SSqBAAW,1/17/2019 17:20,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,8/6/2018 0:00,0,0,,,0,0,0,00138000018yYM4AAM,,,,
7010z0000019qE7AAI,0,Mass Email - Upwork/Microsoft  08062018,000000000000000AAA,Email,012380000009wCN,Completed,,,,,,0,716,1,000000000000000AAA,0,0,736,0,0,0,0,0,0,0,736,0,0,0,0,0,716,0,0,0,00538000005Vf9LAAS,8/6/2018 21:31,00538000005Vf9LAAS,8/6/2018 21:39,00538000005Vf9LAAS,12/21/2018 16:26,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,8/6/2018 0:00,0,0,,,1,0,0,0013800001OfLAYAA3,,,,
7010z0000019qECAAY,0,"Mass Email - FedEx Ground Package Handlers Braselton, GA 08062018",000000000000000AAA,Email,012380000009wCN,Completed,,,,,,0,315,1,000000000000000AAA,0,0,319,0,0,0,0,0,0,0,319,0,0,0,0,0,315,0,0,0,00538000005Vf9LAAS,8/6/2018 22:01,00538000005Vf9LAAS,8/16/2018 23:55,00538000005Vf9LAAS,9/14/2018 18:38,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,8/6/2018 0:00,0,0,,,1,0,0,0015000000uba4aAAA,,,,
7010z0000019qERAAY,0,Mass Email - Farmers Insurance 08062018,000000000000000AAA,Email,012380000009wCN,Completed,,,,,,0,2610,1,000000000000000AAA,0,0,2628,0,0,0,0,0,0,0,2628,0,0,0,0,0,2610,0,0,0,00538000005Vf9LAAS,8/6/2018 22:59,00538000005Vf9LAAS,8/6/2018 23:17,00538000005Vf9LAAS,1/17/2019 17:20,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,8/6/2018 0:00,0,0,,,1,0,0,0013800001NkITYAA3,,,,
