Name,city,state,created_at,last_sign_in_at
Job Seeker 1,Jacksonville,Florida,2018-01-01 00:07:07 UTC,2018-01-01 00:07:08 UTC
Job Seeker 2,,,2018-01-01 14:50:16 UTC,2018-01-01 14:50:16 UTC
Job Seeker 3,,Maryland,2018-01-02 02:27:22 UTC,2018-03-01 19:41:49 UTC
Job Seeker 4,Louisville,Kentucky,2018-01-02 15:30:27 UTC,2018-01-02 15:30:27 UTC
Job Seeker 5,New Orleans,Louisiana,2018-01-02 15:46:00 UTC,2018-01-03 16:44:46 UTC
Job Seeker 6,,,2018-01-02 17:13:28 UTC,2018-01-02 17:13:28 UTC
Job Seeker 7,Marlow,Oklahoma,2018-01-02 18:17:18 UTC,2018-01-02 18:17:18 UTC
Job Seeker 8,,,2018-01-02 18:39:50 UTC,2018-01-02 18:39:50 UTC
Job Seeker 9,,,2018-01-02 20:37:54 UTC,2018-01-02 20:37:54 UTC
Job Seeker 10,Fayetteville,North Carolina,2018-01-02 20:59:21 UTC,2018-01-02 20:59:21 UTC
Job Seeker 11,Oceanside,California,2018-01-02 21:35:55 UTC,2018-01-02 21:35:55 UTC
Job Seeker 12,Durham,North Carolina,2018-01-02 23:58:47 UTC,2018-01-02 23:58:47 UTC
Job Seeker 13,Albuquerque,New Mexico,2018-01-03 00:44:35 UTC,2018-01-03 00:44:35 UTC
Job Seeker 14,Houston,Texas,2018-01-03 02:42:06 UTC,2018-01-03 02:42:06 UTC
Job Seeker 15,Colorado Springs,Colorado,2018-01-03 03:59:08 UTC,2018-01-03 03:59:08 UTC
Job Seeker 16,,,2018-01-03 07:18:19 UTC,2018-01-03 07:18:19 UTC
Job Seeker 17,Austin,Texas,2018-01-03 10:00:04 UTC,2018-01-03 18:12:15 UTC
Job Seeker 18,,California,2018-01-03 15:39:27 UTC,2018-01-03 15:39:27 UTC
Job Seeker 19,Savannah,Georgia,2018-01-03 16:35:22 UTC,2018-01-03 16:35:22 UTC
Job Seeker 20,Los Angeles,California,2018-01-03 17:45:27 UTC,2018-01-03 17:59:11 UTC
Job Seeker 21,San Diego,California,2018-01-03 18:54:53 UTC,2018-01-03 18:54:53 UTC
Job Seeker 22,,,2018-01-03 19:14:05 UTC,2018-01-03 19:14:05 UTC
Job Seeker 23,,,2018-01-03 19:57:59 UTC,2018-01-03 19:57:59 UTC
Job Seeker 24,Carthage,New York,2018-01-03 22:14:28 UTC,2018-01-03 22:14:28 UTC
Job Seeker 25,,,2018-01-03 22:32:54 UTC,2018-01-03 22:32:54 UTC
Job Seeker 26,Bismarck,North Dakota,2018-01-04 01:43:33 UTC,2018-01-09 13:26:50 UTC
Job Seeker 27,San Antonio,Texas,2018-01-04 03:15:48 UTC,2018-01-04 03:15:48 UTC
Job Seeker 28,San Diego,California,2018-01-04 03:39:32 UTC,2018-01-04 03:39:32 UTC
Job Seeker 29,,,2018-01-04 13:56:27 UTC,2018-01-04 13:56:27 UTC
Job Seeker 30,Las Vegas,Nevada,2018-01-04 15:07:55 UTC,2018-01-04 15:07:55 UTC
Job Seeker 31,Tulsa,Oklahoma,2018-01-04 18:55:11 UTC,2018-01-04 18:55:11 UTC
Job Seeker 32,,,2018-01-04 20:48:24 UTC,2018-01-04 20:48:24 UTC
Job Seeker 33,Charlottesville,Virginia,2018-01-04 20:49:21 UTC,2018-01-04 20:49:21 UTC
Job Seeker 34,Chicago,Illinois,2018-01-04 21:57:21 UTC,2018-01-04 21:57:21 UTC
Job Seeker 35,Sheridan,Wyoming,2018-01-05 02:36:52 UTC,2018-06-15 00:58:18 UTC
Job Seeker 36,Norfolk,Virginia,2018-01-05 02:42:53 UTC,2018-01-05 02:52:50 UTC
Job Seeker 37,Washington,District of Columbia,2018-01-05 02:52:45 UTC,2018-01-06 16:45:20 UTC
Job Seeker 38,Syracuse,New York,2018-01-05 14:26:20 UTC,2018-01-05 14:26:20 UTC
Job Seeker 39,Washington,District of Columbia,2018-01-05 15:52:30 UTC,2018-01-07 16:40:40 UTC
Job Seeker 40,Norfolk,Virginia,2018-01-05 16:23:08 UTC,2018-01-05 16:23:08 UTC
Job Seeker 41,Clarksville,Tennessee,2018-01-05 18:28:20 UTC,2018-01-08 18:28:45 UTC
Job Seeker 42,,Virginia,2018-01-05 20:32:30 UTC,2018-01-05 20:32:30 UTC
Job Seeker 43,Waukomis,Oklahoma,2018-01-05 22:47:04 UTC,2018-01-05 22:47:04 UTC
Job Seeker 44,,,2018-01-05 22:50:35 UTC,2018-01-05 22:54:18 UTC
Job Seeker 45,Clarksville,Tennessee,2018-01-06 00:40:07 UTC,2018-01-06 00:40:07 UTC
Job Seeker 46,Washington,District of Columbia,2018-01-06 20:28:14 UTC,2018-01-06 20:28:14 UTC
Job Seeker 47,Colorado Springs,Colorado,2018-01-07 00:28:53 UTC,2018-01-07 00:28:53 UTC
Job Seeker 48,Saint Petersburg,Florida,2018-01-07 17:55:07 UTC,2018-01-07 17:55:07 UTC
Job Seeker 49,Washington,District of Columbia,2018-01-07 19:31:00 UTC,2018-01-13 04:59:00 UTC
Job Seeker 50,North East,Maryland,2018-01-08 01:31:10 UTC,2018-01-08 01:31:10 UTC
Job Seeker 51,,,2018-01-08 15:10:31 UTC,2018-01-08 15:10:31 UTC
Job Seeker 52,,,2018-01-08 16:40:39 UTC,2018-01-09 21:07:07 UTC
Job Seeker 53,Charleston,South Carolina,2018-01-08 17:11:24 UTC,2018-01-08 17:11:24 UTC
Job Seeker 54,Washington,District of Columbia,2018-01-08 17:54:02 UTC,2018-01-08 17:54:02 UTC
Job Seeker 55,Canton,Ohio,2018-01-08 19:30:22 UTC,2018-01-08 19:30:22 UTC
Job Seeker 56,,,2018-01-08 20:21:44 UTC,2018-01-08 20:23:56 UTC
Job Seeker 57,Fort Worth,Texas,2018-01-08 21:19:26 UTC,2018-02-27 14:10:54 UTC
Job Seeker 58,,,2018-01-08 22:04:08 UTC,2018-01-08 22:04:08 UTC
Job Seeker 59,Atlanta,Georgia,2018-01-08 22:14:29 UTC,2018-01-08 22:14:29 UTC
Job Seeker 60,Phoenix,Arizona,2018-01-08 22:28:53 UTC,2018-01-08 22:28:55 UTC
Job Seeker 61,Pittsburgh,Pennsylvania,2018-01-09 01:19:50 UTC,2018-01-09 01:19:50 UTC
Job Seeker 62,,,2018-01-09 01:19:55 UTC,2018-01-09 01:19:55 UTC
Job Seeker 63,Seattle,Washington,2018-01-09 01:49:14 UTC,2018-01-09 01:49:14 UTC
Job Seeker 64,Saint Petersburg,Florida,2018-01-09 02:46:44 UTC,2018-01-09 02:46:44 UTC
Job Seeker 65,,,2018-01-09 03:30:14 UTC,2018-01-09 03:30:14 UTC
Job Seeker 66,,,2018-01-09 08:49:59 UTC,2018-01-09 08:49:59 UTC
Job Seeker 67,Atlanta,Georgia,2018-01-09 16:26:05 UTC,2018-01-09 16:26:06 UTC
Job Seeker 68,,,2018-01-09 16:30:59 UTC,2018-01-09 16:30:59 UTC
Job Seeker 69,Los Angeles,California,2018-01-09 16:48:52 UTC,2018-01-17 21:42:27 UTC
Job Seeker 70,Fort Riley,Kansas,2018-01-09 17:28:59 UTC,2018-01-09 17:28:59 UTC
Job Seeker 71,San Diego,California,2018-01-09 17:57:31 UTC,2018-01-09 17:57:31 UTC
Job Seeker 72,,,2018-01-09 18:57:25 UTC,2018-01-09 18:57:25 UTC
Job Seeker 73,Mission Viejo,California,2018-01-09 18:59:39 UTC,2018-01-09 18:59:39 UTC
Job Seeker 74,,,2018-01-09 20:36:11 UTC,2018-01-09 23:04:57 UTC
Job Seeker 75,Farmington Hills,Michigan,2018-01-09 20:52:53 UTC,2018-01-09 20:52:53 UTC
Job Seeker 76,Mountain Home,Idaho,2018-01-09 21:03:45 UTC,2018-01-09 21:03:45 UTC
Job Seeker 77,,,2018-01-09 21:05:03 UTC,2018-01-09 21:05:03 UTC
Job Seeker 78,,,2018-01-09 21:27:25 UTC,2018-01-09 21:27:25 UTC
Job Seeker 79,,,2018-01-09 23:27:12 UTC,2018-01-09 23:27:12 UTC
Job Seeker 80,Harrisburg,Pennsylvania,2018-01-10 00:36:11 UTC,2018-01-30 18:14:20 UTC
Job Seeker 81,Boise,Idaho,2018-01-10 03:10:59 UTC,2018-03-13 23:06:58 UTC
Job Seeker 82,Dallas,Texas,2018-01-10 04:07:48 UTC,2018-01-10 04:07:48 UTC
Job Seeker 83,Dallas,Texas,2018-01-10 04:14:59 UTC,2018-01-10 04:14:59 UTC
Job Seeker 84,Allentown,Pennsylvania,2018-01-10 06:15:40 UTC,2018-01-10 18:10:59 UTC
Job Seeker 85,Saint Petersburg,Florida,2018-01-10 13:36:08 UTC,2018-01-10 13:36:08 UTC
Job Seeker 86,Woodbridge,Virginia,2018-01-10 16:37:10 UTC,2018-01-10 16:37:10 UTC
Job Seeker 87,,,2018-01-10 17:25:15 UTC,2018-01-10 17:25:15 UTC
Job Seeker 88,Germantown,Maryland,2018-01-10 17:33:14 UTC,2018-01-10 17:36:08 UTC
Job Seeker 89,,,2018-01-10 18:43:14 UTC,2018-01-10 18:43:14 UTC
Job Seeker 90,,,2018-01-10 18:48:46 UTC,2018-01-10 18:48:46 UTC
Job Seeker 91,Colorado Springs,Colorado,2018-01-10 20:17:09 UTC,2018-01-10 20:17:09 UTC
Job Seeker 92,Hinesville,Georgia,2018-01-10 20:20:37 UTC,2018-01-10 20:20:37 UTC
Job Seeker 93,Phoenix,Arizona,2018-01-10 20:22:18 UTC,2018-02-06 03:38:58 UTC
Job Seeker 94,Birmingham,Alabama,2018-01-10 20:25:16 UTC,2018-01-10 20:25:16 UTC
Job Seeker 95,Pensacola,Florida,2018-01-10 20:41:57 UTC,2018-01-10 20:41:57 UTC
Job Seeker 96,,,2018-01-10 21:37:12 UTC,2018-01-10 21:37:12 UTC
Job Seeker 97,Boston,Massachusetts,2018-01-10 22:49:06 UTC,2018-01-10 22:49:06 UTC
Job Seeker 98,Saginaw,Michigan,2018-01-11 00:41:29 UTC,2018-01-11 00:41:29 UTC
Job Seeker 99,Norfolk,Virginia,2018-01-11 01:30:34 UTC,2018-02-01 00:03:59 UTC
Job Seeker 100,St. Louis,Missouri,2018-01-11 02:05:25 UTC,2018-01-11 02:05:25 UTC
Job Seeker 101,Seattle,Washington,2018-01-11 02:27:58 UTC,2018-01-11 02:27:59 UTC
Job Seeker 102,Clarksville,Tennessee,2018-01-11 02:32:15 UTC,2018-01-11 14:04:36 UTC
Job Seeker 103,,,2018-01-11 03:14:29 UTC,2018-01-11 03:14:30 UTC
Job Seeker 104,Clearfield,Utah,2018-01-11 04:18:27 UTC,2018-01-18 19:17:07 UTC
Job Seeker 105,San Diego,California,2018-01-11 04:25:51 UTC,2018-01-11 04:25:51 UTC
Job Seeker 106,Clarksville,Tennessee,2018-01-11 05:42:59 UTC,2018-01-11 05:42:59 UTC
Job Seeker 107,Atlanta,Georgia,2018-01-11 07:27:02 UTC,2018-01-11 07:27:02 UTC
Job Seeker 108,Fayetteville,North Carolina,2018-01-11 14:39:29 UTC,2018-01-11 14:39:29 UTC
Job Seeker 109,,,2018-01-11 15:02:35 UTC,2018-08-31 19:22:54 UTC
Job Seeker 110,Montgomery,Alabama,2018-01-11 15:19:51 UTC,2018-01-11 15:19:51 UTC
Job Seeker 111,Washington,District of Columbia,2018-01-11 16:14:23 UTC,2018-01-11 16:14:23 UTC
Job Seeker 112,,,2018-01-11 16:52:36 UTC,2018-01-11 16:52:36 UTC
Job Seeker 113,Yucca Valley,California,2018-01-11 17:55:40 UTC,2018-01-11 17:55:40 UTC
Job Seeker 114,St. Louis,Missouri,2018-01-11 18:13:38 UTC,2018-01-11 18:13:38 UTC
Job Seeker 115,Colorado Springs,Colorado,2018-01-11 18:33:44 UTC,2018-01-12 11:36:43 UTC
Job Seeker 116,Boise,Idaho,2018-01-11 19:52:36 UTC,2018-01-11 19:52:36 UTC
Job Seeker 117,Saint Petersburg,Florida,2018-01-11 19:54:38 UTC,2018-01-11 19:54:38 UTC
Job Seeker 118,,California,2018-01-11 20:28:16 UTC,2018-01-11 20:28:17 UTC
Job Seeker 119,Atlanta,Georgia,2018-01-11 20:30:09 UTC,2018-01-11 20:30:09 UTC
Job Seeker 120,Atlanta,Georgia,2018-01-11 21:42:40 UTC,2018-10-05 12:31:58 UTC
Job Seeker 121,,,2018-01-11 23:22:22 UTC,2018-01-11 23:22:22 UTC
Job Seeker 122,Dallas,Texas,2018-01-12 02:37:20 UTC,2018-01-12 02:37:20 UTC
Job Seeker 123,Clarksville,Tennessee,2018-01-12 17:41:24 UTC,2018-01-12 17:41:24 UTC
Job Seeker 124,Dallas,Texas,2018-01-12 18:58:29 UTC,2018-01-12 18:58:29 UTC
Job Seeker 125,Altoona,Pennsylvania,2018-01-12 20:16:06 UTC,2018-01-15 14:04:18 UTC
Job Seeker 126,Colorado Springs,Colorado,2018-01-12 20:32:52 UTC,2018-01-12 20:32:52 UTC
Job Seeker 127,,,2018-01-12 21:31:20 UTC,2018-01-12 21:31:20 UTC
Job Seeker 128,,,2018-01-12 21:48:27 UTC,2018-01-12 21:48:27 UTC
Job Seeker 129,Anchorage,Alaska,2018-01-12 22:56:19 UTC,2018-01-12 22:56:19 UTC
Job Seeker 130,Los Angeles,California,2018-01-13 00:31:36 UTC,2018-01-13 00:31:36 UTC
Job Seeker 131,Waldorf,Maryland,2018-01-13 00:47:37 UTC,2018-02-12 15:48:34 UTC
Job Seeker 132,,,2018-01-13 13:37:01 UTC,2018-01-13 13:37:01 UTC
Job Seeker 133,La Crosse,Wisconsin,2018-01-13 20:56:21 UTC,2018-01-13 20:56:21 UTC
Job Seeker 134,Colorado Springs,Colorado,2018-01-14 00:58:00 UTC,2018-01-14 00:58:00 UTC
Job Seeker 135,Round Rock,Texas,2018-01-14 18:07:40 UTC,2018-01-14 18:07:40 UTC
Job Seeker 136,,Texas,2018-01-14 18:31:19 UTC,2018-03-27 13:04:05 UTC
Job Seeker 137,Washington,District of Columbia,2018-01-14 21:49:36 UTC,2018-02-16 03:22:42 UTC
Job Seeker 138,,,2018-01-14 23:49:18 UTC,2018-01-14 23:49:18 UTC
Job Seeker 139,Kenmore,New York,2018-01-15 02:17:28 UTC,2018-01-15 02:17:28 UTC
Job Seeker 140,Oceanside,California,2018-01-15 05:42:02 UTC,2018-01-15 05:42:02 UTC
Job Seeker 141,Pittsburgh,Pennsylvania,2018-01-15 17:27:31 UTC,2018-01-15 17:27:31 UTC
Job Seeker 142,Boise,Idaho,2018-01-15 17:29:51 UTC,2018-01-15 17:29:51 UTC
Job Seeker 143,Dallas,Texas,2018-01-15 17:38:35 UTC,2018-01-15 17:38:35 UTC
Job Seeker 144,Baltimore,Maryland,2018-01-15 20:14:23 UTC,2018-01-16 18:17:48 UTC
Job Seeker 145,Biloxi,Mississippi,2018-01-15 20:23:19 UTC,2018-01-15 20:23:20 UTC
Job Seeker 146,Killeen,Texas,2018-01-15 20:32:37 UTC,2018-01-15 20:32:37 UTC
Job Seeker 147,Stuttgart,Baden-WÃ¼rttemberg,2018-01-15 21:44:49 UTC,2018-01-15 21:44:49 UTC
Job Seeker 148,Saint Petersburg,Florida,2018-01-15 23:11:23 UTC,2018-01-15 23:11:24 UTC
Job Seeker 149,New York,New York,2018-01-16 00:20:48 UTC,2018-01-16 00:20:48 UTC
Job Seeker 150,Washington,District of Columbia,2018-01-16 02:05:04 UTC,2018-01-16 02:05:04 UTC
Job Seeker 151,,Okinawa Prefecture,2018-01-16 03:15:24 UTC,2018-02-13 14:47:10 UTC
Job Seeker 152,Houston,Texas,2018-01-16 04:14:58 UTC,2018-01-16 04:14:58 UTC
Job Seeker 153,Winchester,Virginia,2018-01-16 06:12:27 UTC,2018-01-16 06:12:27 UTC
Job Seeker 154,Fayetteville,North Carolina,2018-01-16 13:48:11 UTC,2018-01-16 21:31:31 UTC
Job Seeker 155,Saint Paul,Minnesota,2018-01-16 14:31:09 UTC,2018-01-16 14:31:09 UTC
Job Seeker 156,Boston,Massachusetts,2018-01-16 14:34:27 UTC,2018-01-16 14:34:28 UTC
Job Seeker 157,,,2018-01-16 16:04:53 UTC,2018-01-18 13:24:35 UTC
Job Seeker 158,Collegeville,Pennsylvania,2018-01-16 16:14:21 UTC,2018-01-16 16:14:21 UTC
Job Seeker 159,,Michigan,2018-01-16 18:00:57 UTC,2018-01-16 18:00:57 UTC
Job Seeker 160,Los Angeles,California,2018-01-16 18:04:35 UTC,2018-01-16 19:02:27 UTC
Job Seeker 161,Jacksonville,Florida,2018-01-16 21:49:33 UTC,2018-01-16 21:49:33 UTC
Job Seeker 162,Norfolk,Virginia,2018-01-16 23:00:26 UTC,2018-01-16 23:00:26 UTC
Job Seeker 163,Kansas City,Missouri,2018-01-17 00:55:15 UTC,2018-01-18 22:27:08 UTC
Job Seeker 164,Birmingham,Alabama,2018-01-17 02:06:11 UTC,2018-01-17 02:06:11 UTC
Job Seeker 165,Saint Paul,Minnesota,2018-01-17 03:26:02 UTC,2018-01-17 03:26:02 UTC
Job Seeker 166,,,2018-01-17 05:13:13 UTC,2018-01-17 05:13:13 UTC
Job Seeker 167,Hempstead,Texas,2018-01-17 10:43:46 UTC,2018-01-17 10:45:00 UTC
Job Seeker 168,,,2018-01-17 11:42:48 UTC,2018-10-03 09:38:29 UTC
Job Seeker 169,Jacksonville,North Carolina,2018-01-17 15:16:38 UTC,2018-01-17 15:16:39 UTC
Job Seeker 170,,Georgia,2018-01-17 15:19:38 UTC,2018-01-17 15:19:38 UTC
Job Seeker 171,El Paso,Texas,2018-01-17 16:32:03 UTC,2018-10-01 14:04:28 UTC
Job Seeker 172,Jacksonville,North Carolina,2018-01-17 17:45:15 UTC,2018-01-17 17:45:15 UTC
Job Seeker 173,Phoenix,Arizona,2018-01-17 18:23:54 UTC,2018-01-17 18:23:54 UTC
Job Seeker 174,,,2018-01-17 19:21:07 UTC,2018-01-17 19:22:36 UTC
Job Seeker 175,San Diego,California,2018-01-17 21:29:09 UTC,2018-01-17 21:29:09 UTC
Job Seeker 176,,,2018-01-17 21:49:56 UTC,2018-01-17 21:49:56 UTC
Job Seeker 177,Fort Wayne,Indiana,2018-01-17 22:01:08 UTC,2018-01-17 22:01:08 UTC
Job Seeker 178,Los Angeles,California,2018-01-17 22:28:58 UTC,2018-01-17 22:28:58 UTC
Job Seeker 179,Seaford,Virginia,2018-01-17 22:43:41 UTC,2018-01-17 22:43:41 UTC
Job Seeker 180,Colorado Springs,Colorado,2018-01-17 23:19:04 UTC,2018-01-17 23:19:04 UTC
Job Seeker 181,Denver,Colorado,2018-01-17 23:28:41 UTC,2018-01-17 23:28:41 UTC
Job Seeker 182,Washington,District of Columbia,2018-01-18 01:02:29 UTC,2018-01-18 01:02:29 UTC
Job Seeker 183,Oshkosh,Wisconsin,2018-01-18 01:26:58 UTC,2018-01-18 01:26:59 UTC
Job Seeker 184,Houston,Texas,2018-01-18 02:44:07 UTC,2018-01-18 20:32:51 UTC
Job Seeker 185,Chicago,Illinois,2018-01-18 04:23:49 UTC,2018-02-08 14:07:58 UTC
Job Seeker 186,,Utah,2018-01-18 04:54:04 UTC,2018-01-23 02:03:17 UTC
Job Seeker 187,Pierce County,Washington,2018-01-18 09:57:20 UTC,2018-01-18 09:57:20 UTC
Job Seeker 188,Saint Petersburg,Florida,2018-01-18 14:16:24 UTC,2018-01-18 14:16:25 UTC
Job Seeker 189,Frederick,Maryland,2018-01-18 15:18:30 UTC,2018-01-18 17:25:50 UTC
Job Seeker 190,Tampa,Florida,2018-01-18 15:51:19 UTC,2018-01-23 21:00:58 UTC
Job Seeker 191,Wesley Chapel,Florida,2018-01-18 16:22:25 UTC,2018-04-13 18:08:42 UTC
Job Seeker 192,New Orleans,Louisiana,2018-01-18 16:50:33 UTC,2018-02-19 14:36:08 UTC
Job Seeker 193,Hempstead,Texas,2018-01-18 17:31:12 UTC,2018-01-18 17:31:12 UTC
Job Seeker 194,Los Angeles,California,2018-01-18 18:13:01 UTC,2018-01-18 18:13:01 UTC
