"Id","Name","ModuleNamespace","Description","BusinessProcessId","SobjectType","IsActive","CreatedById","CreatedDate","LastModifiedById","LastModifiedDate","SystemModstamp","IsDeleted"
"0120z0000005Q4OAAU","Volunteer Program Request","","","0190z0000008pB1AAI","Case","1","00538000004gsNsAAI","2018-08-08 13:39:34","00550000001WkUeAAK","2018-09-16 23:40:47","2018-09-16 23:40:47","0"
"0120z0000009gKAAAY","Corporate Partner","","","019500000004bW5AAI","Lead","1","00538000004gsNsAAI","2019-01-15 15:54:12","00538000004gsNsAAI","2019-01-15 15:54:12","2019-01-15 15:54:12","0"
"0120z000000gi2OAAQ","Career Seminar","","","","Campaign","0","00538000004gsNsAAI","2018-08-24 16:39:20","00538000004gsNsAAI","2019-01-09 15:00:31","2019-01-09 15:00:31","0"
"0120z000000gi5cAAA","Vendor","","","","Account","1","00538000004gsNsAAI","2018-10-17 16:35:58","00538000004gsNsAAI","2018-12-20 16:27:42","2018-12-20 16:27:42","0"
"012380000001uvxAAA","Development Partner","","These are inquiries coming in from the Partner form","019500000004bW5AAI","Lead","1","00538000004gsNsAAI","2017-06-01 12:53:36","00538000004gsNsAAI","2018-08-10 14:40:45","2018-08-10 14:40:45","0"
"012380000001v2eAAA","Webinar","","","","Campaign","1","00538000004gsNsAAI","2017-07-06 17:34:41","00538000004gsNsAAI","2019-01-11 13:23:08","2019-01-11 13:23:08","0"
"012380000005gY6AAI","Additional Service Needs Requests","","","019380000008udWAAQ","Case","1","00538000004gsNsAAI","2018-03-15 16:54:55","00538000004gsNsAAI","2018-08-07 16:16:56","2018-08-07 16:16:56","0"
"012380000005gavAAA","Independence Project","","","","01I38000000GN02","1","00538000004gsNsAAI","2018-03-30 15:06:30","00538000004gsNsAAI","2018-04-03 13:11:12","2018-04-03 13:11:12","0"
"012380000005gb0AAA","Career Readiness Fund","","","","01I38000000GN02","1","00538000004gsNsAAI","2018-03-30 15:49:15","00538000004gsNsAAI","2018-07-17 18:06:08","2018-07-17 18:06:08","0"
"012380000009vxkAAA","Volunteer","","For Hire Heroes Volunteer Form","019500000004bW5AAI","Lead","1","00538000004gsNsAAI","2015-11-05 19:23:05","00538000004gsNsAAI","2018-08-10 14:40:45","2018-08-10 14:40:45","0"
"012380000009vyEAAQ","Workshop","","A campaign used to track workshop participants","","Campaign","1","00538000004gsNsAAI","2015-11-10 17:33:37","00538000004gsNsAAI","2019-01-11 13:23:08","2019-01-11 13:23:08","0"
"012380000009w7GAAQ","Independence Project","","Veteran part of the Independence project","","Contact","1","00538000004gsNsAAI","2016-02-16 14:50:19","00538000004gsNsAAI","2019-01-14 13:55:30","2019-01-14 13:55:30","0"
"012380000009wBhAAI","Inquiry","","These are inquiries coming in from the Contact form","019500000004bW5AAI","Lead","1","00538000004gsNsAAI","2016-03-15 13:07:34","00538000004gsNsAAI","2018-08-10 14:40:45","2018-08-10 14:40:45","0"
"012380000009wC6AAI","Household Account","","An Account representing a Household containing one or more individuals","","Account","1","00538000004mA6VAAU","2016-03-21 19:14:28","00538000004gsNsAAI","2018-12-20 16:27:42","2018-12-20 16:27:42","0"
"012380000009wC7AAI","Organization","","An Account representing an organization","","Account","1","00538000004mA6VAAU","2016-03-21 19:14:31","00538000004gsNsAAI","2018-12-20 16:27:42","2018-12-20 16:27:42","0"
"012380000009wCLAAY","Event","","Campaign Event","","Campaign","1","00538000004mA6VAAU","2016-03-22 14:55:19","00538000004gsNsAAI","2019-01-11 13:23:08","2019-01-11 13:23:08","0"
"012380000009wCMAAY","General","","","","Campaign","1","00538000004mA6VAAU","2016-03-22 14:55:22","00538000004gsNsAAI","2019-01-11 13:23:08","2019-01-11 13:23:08","0"
"012380000009wCNAAY","Mailing List","","","","Campaign","1","00538000004mA6VAAU","2016-03-22 14:55:22","00538000004gsNsAAI","2019-01-11 13:23:08","2019-01-11 13:23:08","0"
"012380000009wCQAAY","Classy","","","","Account","1","00538000004mA6VAAU","2016-03-22 19:30:54","00538000004gsNsAAI","2018-12-20 16:27:42","2018-12-20 16:27:42","0"
"012380000009wCRAAY","Classy","","Default Record Type for Campaigns created via Classy","","Campaign","1","00538000004mA6VAAU","2016-03-22 19:30:56","00538000004gsNsAAI","2019-01-11 13:23:08","2019-01-11 13:23:08","0"
"012380000009wCSAAY","StayClassy","","Contact record added via Classy","","Contact","1","00538000004mA6VAAU","2016-03-22 19:30:56","00538000004gsNsAAI","2019-01-14 13:55:30","2019-01-14 13:55:30","0"
"012380000009wCTAAY","Default","","","01938000000D7hFAAS","Opportunity","1","00538000004mA6VAAU","2016-03-22 19:30:58","00538000004gsNsAAI","2018-11-07 09:33:23","2018-11-07 09:33:23","0"
"012380000009wCUAAY","Classy","","Data inserted via Classy","01938000000D7hFAAS","Opportunity","0","00538000004mA6VAAU","2016-03-22 19:30:58","00538000004gsNsAAI","2018-11-07 09:33:23","2018-11-07 09:33:23","0"
"012380000009wCVAAY","In-Kind","","Use this record type for In-Kind gifts","019500000004bW6AAI","Opportunity","1","00538000004mA6VAAU","2016-03-22 20:39:34","00538000004gsNsAAI","2018-05-17 17:41:44","2018-05-17 17:41:44","0"
"01238000000E8RTAA0","Fundraiser","","","","Campaign","1","00550000000z4FcAAI","2016-04-13 19:43:37","00538000004gsNsAAI","2019-01-11 13:23:08","2019-01-11 13:23:08","0"
"01238000000EASTAA4","Virtual Workshop","","","","Campaign","1","00538000004gsNsAAI","2017-09-21 14:46:27","00538000004gsNsAAI","2019-01-11 13:23:08","2019-01-11 13:23:08","0"
"01238000000EAyZAAW","AR","","AR - Argentina","","01I38000000CR11","1","00538000004gsNsAAI","2018-02-19 17:26:20","00538000004gsNsAAI","2018-02-19 17:26:20","2018-02-19 17:29:11","0"
"01238000000EAyaAAG","AT","","AT - Austria","","01I38000000CR11","1","00538000004gsNsAAI","2018-02-19 17:26:22","00538000004gsNsAAI","2018-02-19 17:26:22","2018-02-19 17:29:11","0"
"01238000000EAybAAG","AU","","AU - Australia","","01I38000000CR11","1","00538000004gsNsAAI","2018-02-19 17:26:22","00538000004gsNsAAI","2018-02-19 17:26:22","2018-02-19 17:29:11","0"
"01238000000EAycAAG","BE","","BE - Belgium","","01I38000000CR11","1","00538000004gsNsAAI","2018-02-19 17:26:22","00538000004gsNsAAI","2018-02-19 17:26:22","2018-02-19 17:29:11","0"
"01238000000EAydAAG","BR","","?BR - Brazil","","01I38000000CR11","1","00538000004gsNsAAI","2018-02-19 17:26:22","00538000004gsNsAAI","2018-02-19 17:26:22","2018-02-19 17:29:11","0"
"01238000000EAyeAAG","BS","","BS - Bahamas","","01I38000000CR11","1","00538000004gsNsAAI","2018-02-19 17:26:22","00538000004gsNsAAI","2018-02-19 17:26:22","2018-02-19 17:29:11","0"
"01238000000EAyfAAG","CA","","CA - Canada","","01I38000000CR11","1","00538000004gsNsAAI","2018-02-19 17:26:22","00538000004gsNsAAI","2018-02-19 17:26:22","2018-02-19 17:29:11","0"
"01238000000EAygAAG","CA(FSA)","","CA - Canadian (FSA)","","01I38000000CR11","1","00538000004gsNsAAI","2018-02-19 17:26:23","00538000004gsNsAAI","2018-02-19 17:26:23","2018-02-19 17:29:11","0"
